City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karatau,43.1667,70.4667,272.73,80,70,0.61,KZ,2022-02-12 16:26:12
1,Sept-Iles,50.2001,-66.3821,274.85,83,75,1.54,CA,2022-02-12 16:20:24
2,Ponta Do Sol,32.6667,-17.1,293.55,69,14,1.19,PT,2022-02-12 16:26:12
3,Ushuaia,-54.8,-68.3,283.94,61,46,18.01,AR,2022-02-12 16:24:37
4,Bethel,41.3712,-73.414,287.64,52,0,7.72,US,2022-02-12 16:19:33
5,Kahului,20.8947,-156.47,294.73,80,20,1.79,US,2022-02-12 16:16:55
6,Katsuura,35.1333,140.3,278.21,56,100,1.44,JP,2022-02-12 16:23:30
7,Dunedin,-45.8742,170.5036,284.15,69,100,4.47,NZ,2022-02-12 16:26:13
8,Kapaa,22.0752,-159.319,293.14,97,75,3.09,US,2022-02-12 16:26:14
9,Hermanus,-34.4187,19.2345,295.87,81,96,3.07,ZA,2022-02-12 16:19:21
10,Saint-Philippe,-21.3585,55.7679,298.92,78,16,2.66,RE,2022-02-12 16:26:15
11,Pisco,-13.7,-76.2167,296.49,64,0,3.09,PE,2022-02-12 16:21:00
12,Cuxhaven,53.8718,8.6909,278.14,67,99,8.82,DE,2022-02-12 16:26:15
13,Auki,-8.7676,160.7034,297.03,93,100,1.71,SB,2022-02-12 16:26:16
14,Castro,-24.7911,-50.0119,298.84,47,0,1.78,BR,2022-02-12 16:26:16
15,Ribeira Grande,38.5167,-28.7,290.37,82,75,8.75,PT,2022-02-12 16:19:35
16,Kondoa,-4.9,35.7833,291.52,90,99,1.88,TZ,2022-02-12 16:26:17
17,New Norfolk,-42.7826,147.0587,286.87,67,92,1.18,AU,2022-02-12 16:26:17
18,Manaure,11.7751,-72.4445,304.21,50,34,11.07,CO,2022-02-12 16:26:18
19,Cabo San Lucas,22.8909,-109.9124,295.32,41,20,0.0,MX,2022-02-12 16:16:05
20,Mahebourg,-20.4081,57.7,300.31,78,40,0.51,MU,2022-02-12 16:26:19
21,Cape Town,-33.9258,18.4232,297.1,70,0,6.17,ZA,2022-02-12 16:26:19
22,Rurrenabaque,-14.4413,-67.5278,302.63,69,100,1.81,BO,2022-02-12 16:26:20
23,Minab,27.1467,57.0801,295.87,64,1,2.06,IR,2022-02-12 16:26:21
24,Tutoia,-2.7619,-42.2744,305.14,75,95,5.44,BR,2022-02-12 16:26:21
25,Trento,46.0679,11.1211,283.27,34,0,1.03,IT,2022-02-12 16:26:22
26,Jambi,-1.6,103.6167,296.92,96,88,1.58,ID,2022-02-12 16:26:22
27,Atuona,-9.8,-139.0333,298.24,79,10,6.12,PF,2022-02-12 16:26:22
28,Haines Junction,60.7522,-137.5108,273.12,69,82,1.54,CA,2022-02-12 16:26:23
29,Punta Arenas,-53.15,-70.9167,288.21,41,20,16.46,CL,2022-02-12 16:26:23
30,Baijiantan,45.6333,85.1833,262.06,94,100,1.15,CN,2022-02-12 16:26:24
31,Upernavik,72.7868,-56.1549,252.69,98,100,6.21,GL,2022-02-12 16:19:32
32,Victoria,22.2855,114.1577,293.25,87,82,1.79,HK,2022-02-12 16:26:04
33,Lata,40.1629,-8.3327,288.75,67,100,2.64,PT,2022-02-12 16:26:25
34,Leningradskiy,69.3833,178.4167,243.22,98,98,1.92,RU,2022-02-12 16:23:40
35,Trat,12.5,102.5,302.03,90,42,0.14,TH,2022-02-12 16:26:25
36,Turgenevo,54.8455,46.3297,269.36,96,100,3.47,RU,2022-02-12 16:26:26
37,Airai,-8.9266,125.4092,288.52,94,83,1.09,TL,2022-02-12 16:18:09
38,Kachug,53.9606,105.8817,239.48,100,35,0.51,RU,2022-02-12 16:26:27
39,Sobolevo,54.4299,31.8996,267.48,91,8,4.74,RU,2022-02-12 16:26:27
40,Hilo,19.7297,-155.09,294.0,84,100,4.63,US,2022-02-12 16:16:52
41,Husavik,66.0449,-17.3389,268.1,81,61,2.78,IS,2022-02-12 16:16:42
42,Port Macquarie,-31.4333,152.9167,289.76,72,82,4.15,AU,2022-02-12 16:20:44
43,Vostok,46.4856,135.8833,258.49,97,100,1.2,RU,2022-02-12 16:22:03
